Gender,Age,Education status,Faculty,Major,City of residence,Birth place,Work status,Relationship,Accommodation,Income,Online purchase,Online purchase freq,Payment method,Website type,Reasons,Mostly prefered,Website design,Product information,Product comments,Product rating,Product pictures,Variety of size/colour,Quality of the product,Return Guarantees,Recommondations about that webs,Product comparison feature,Different sellers offers,High online security system,The name value of the firm,Special discount coupon,Instant discount messages/mails,Most not to prefer,Reasons not prefer,Collecting info,Decision support systems,Bad experience,Bad experience info,Returned a product,Reason for returning products,"Satisfied brand,  prefer again",Recommend satisfied brand,Why don’t you shop online?
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Istanbul,Istanbul,Intern ,Single ,College Dorm ,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Electronic Products , Hobby , Books",Important ,Important ,Important ,Important ,Important ,Unimportant ,Very Important ,Very Important ,Unimportant ,Very Important ,Very Important ,Moderately Important ,Important ,Very Important ,Unimportant ,"Cosmetic Products , Clothing , Shoes and Bags ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,Yes,I do not have bad experience. ,Yes,"Defective product , Damaged product ",Yes,Yes,
Male ,20 - 24,Preparation School ,Arts and Sciences,Statistics,Ankara,Izmir,Part-time ,Single ,College Dorm ,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Coupons and discounts , Reviews from other customers ","Electronic Products , Cosmetic Products , Clothing ",Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Important ,Moderately Important ,Slightly Important ,Slightly Important ,Important ,Moderately Important ,Important ,Moderately Important ,Furniture ,I want to see the product before buying. ,Yes,Yes,Yes,No delivery / missing product ,No,I have not returned my package before ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,Economics,Istanbul,Istanbul,Not working ,Single ,College Dorm ,4001 TL - 5500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Cosmetic Products , Clothing , Accessory",Slightly Important ,Moderately Important ,Moderately Important ,Moderately Important ,Moderately Important ,Slightly Important ,Moderately Important ,Slightly Important ,Moderately Important ,Unimportant ,Moderately Important ,Slightly Important ,Slightly Important ,Moderately Important ,Unimportant ,"Electronic Products , Shoes and Bags ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,Product different from what I ordered ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Molecular Biology and Genetics,Ankara,Ankara,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Reviews from other customers ","Cosmetic Products , Clothing , Accessory",Important ,Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,Unimportant ,Slightly Important ,Moderately Important ,Unimportant ,Moderately Important ,Unimportant ,Unimportant ,Unimportant ,Shoes and Bags ,I want to see the product before buying. ,Yes,No,Yes,"Problems about the product like damaged, fake, defective etc. ",No,I have not returned my package before ,Yes,No,
Male ,20 - 24,Bachelor's Degree ,Engineering ,Mechanical Engineering,Ankara,Tekirdag,Not working ,In a relationship ,Student House ,More than 5500 TL ,Yes,Once a week ,Credit card ,Online marketplace websites ,"Coupons and discounts , Easy returns policy","Electronic Products , Cosmetic Products , Clothing ",Moderately Important ,Very Important ,Very Important ,Important ,Very Important ,Unimportant ,Important ,Important ,Moderately Important ,Slightly Important ,Important ,Very Important ,Moderately Important ,Unimportant ,Slightly Important ,"Baby Care , Accessory, Building Supply ",I want to see the product before buying. ,Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Damaged product , Wrong order ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Industrial Engineering,Ankara,Eskisehir,Not working ,In a relationship ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Payment by wire transfer / EFT ,Online marketplace websites ,Coupons and discounts ,"Cosmetic Products , Clothing , Shoes and Bags ",Important ,Important ,Important ,Important ,Important ,Important ,Important ,Very Important ,Moderately Important ,Slightly Important ,Important ,Very Important ,Moderately Important ,Important ,Moderately Important ,Furniture ,I want to see the product before buying. ,Yes,No,No,I do not have bad experience. ,Yes,Refuse to buy the product ,Yes,Yes,
Female ,Under 19 ,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Istanbul,Not working ,In a relationship ,College Dorm ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Reviews from other customers , Quick and easy online checkout process","Accessory, Hobby ",Important ,Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Moderately Important ,Moderately Important ,Slightly Important ,Important ,Very Important ,Important ,Moderately Important ,Moderately Important ,"Clothing , Shoes and Bags ",I would like to try on before buying.,Yes,Yes,Yes,Late product delivery,Yes,Defective product ,Yes,Yes,
Female ,20 - 24,Master's Degree ,Engineering ,Environmental Engineering,ltaly,Eskisehir,Not working ,In a relationship ,Student House ,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Electronic Products , Cosmetic Products , Clothing ",Slightly Important ,Moderately Important ,Important ,Moderately Important ,Very Important ,Important ,Very Important ,Slightly Important ,Moderately Important ,Slightly Important ,Unimportant ,Moderately Important ,Moderately Important ,Slightly Important ,Unimportant ,"Outdoor , Baby Care , Building Supply ",I want to see the product before buying. ,Yes,No,Yes,"Late product delivery, No delivery / missing product ",Yes,Defective product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,Global and International Affairs,Izmir,Istanbul,Not working ,Single ,College Dorm ,2501 TL - 4000 TL,Yes,Once a day,Credit card ,Online marketplace websites ,"Coupons and discounts , Reviews from other customers ","Electronic Products , Cosmetic Products , Clothing ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,"Baby Care , Building Supply",I would like to try on before buying.,Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,Refuse to buy the product ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Medicine ,Medicine,Canakkale,Eskisehir,Not working ,Single ,Student House ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Clothing , Shoes and Bags ",Very Important ,Very Important ,Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Moderately Important ,Moderately Important ,Very Important ,Important ,Slightly Important ,Very Important ,Important ,"Clothing , Shoes and Bags , Sport , Accessory ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,No delivery / missing product ,Yes,Product different from what I ordered ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Sociology,Ankara,Ankara,Not working ,In a relationship ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Coupons and discounts ,Clothing ,Unimportant ,Very Important ,Very Important ,Very Important ,Important ,Moderately Important ,Very Important ,Very Important ,Moderately Important ,Slightly Important ,Slightly Important ,Very Important ,Moderately Important ,Slightly Important ,Unimportant ,"Electronic Products , Cosmetic Products ",I want to see the product before buying. ,Yes,No,Yes,No delivery / missing product ,No,I have not returned my package before ,Yes,Yes,
Male ,25 - 30,Master's Degree ,Dentistry ,Dentistry,Istanbul,Kayseri,Full-time ,Single ,House - Rent ,More than 5500 TL ,Yes,Once a day,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,Food,Very Important ,Moderately Important ,Important ,Important ,Moderately Important ,Slightly Important ,Very Important ,Moderately Important ,Slightly Important ,Unimportant ,Slightly Important ,Unimportant ,Unimportant ,Unimportant ,Unimportant ,Food,"I would like to try on before buying., I want to see the product before buying. ",No,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Damaged product , Fake product ",Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Engineering ,Mechatronics Engineering,Istanbul,Istanbul,Part-time ,Single ,Student House ,4001 TL - 5500 TL,Yes,Once a year ,Credit card ,Online marketplace websites ,"Free delivery, Quick and easy online checkout process ","Electronic Products , Clothing , Sport , Hobby ",Important ,Very Important ,Moderately Important ,Moderately Important ,Important ,Slightly Important ,Very Important ,Unimportant ,Slightly Important ,Important ,Very Important ,Very Important ,Moderately Important ,Unimportant ,Unimportant ,"Cosmetic Products , Shoes and Bags , Baby Care ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, Problems with payment method like no ",No,I have not returned my package before ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,Business Administration,Ankara,Istanbul,Not working ,Single ,College Dorm ,More than 5500 TL ,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Quick and easy online checkout process ","Cosmetic Products , Clothing , Shoes and Bags ",Moderately Important ,Important ,Important ,Important ,Very Important ,Important ,Very Important ,Very Important ,Important ,Slightly Important ,Slightly Important ,Very Important ,Very Important ,Slightly Important ,Slightly Important ,"Electronic Products , Furniture ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,Product different from what I ordered ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Chemical Engineering,Ankara,Bursa,Not working ,In a relationship ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Electronic Products , Cosmetic Products , Clothing ",Slightly Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Important ,Moderately Important ,Moderately Important ,Very Important ,Very Important ,Important ,Moderately Important ,Electronic Products ,I want to see the product before buying. ,Yes,No,Yes,Late product delivery,Yes,Defective product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Nutrition and Dietetics ,Nutrition and Dietetics,Istanbul,Eskisehir,Intern ,In a relationship ,Private Dorm,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,Shoes and Bags ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Important ,Moderately Important ,Moderately Important ,Very Important ,Moderately Important ,Moderately Important ,Moderately Important ,"Electronic Products , Cosmetic Products , Outdoor ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",No,Fake product ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Health of Sciences ,Nursing,Istanbul,Istanbul,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a week ,Credit card ,Individual brand websites  ,Reviews from other customers ,"Electronic Products , Clothing , Sport , Hobby ",Moderately Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Important ,Important ,Important ,Moderately Important ,Very Important ,Important ,Important ,Slightly Important ,"Cosmetic Products , Shoes and Bags , Baby Care ",I would like to try on before buying.,Yes,Yes,Yes,No delivery / missing product ,No,I have not returned my package before ,Yes,No,
Female ,Under 19 ,Preparation School ,Engineering ,Mechanical Engineering,Ankara,Germany,Not working ,Single ,College Dorm ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Clothing , Accessory",Moderately Important ,Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Important ,Very Important ,Important ,Slightly Important ,Important ,Important ,Very Important ,Moderately Important ,Slightly Important ,"Cosmetic Products , Shoes and Bags , Stationary ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,No,I do not have bad experience. ,Yes,Refuse to buy the product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Education ,Preschool Education,Istanbul,Istanbul,Not working ,Single ,Family House ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Knowing the product or company is cruelty-free ,Accessory,Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Electronic Products ,I do not trust websites. ,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",No,Damaged product ,Yes,Yes,
Female ,20 - 24,Preparation School ,Engineering ,Chemical Engineering,Izmir,Cyprus,Not working ,Single ,College Dorm ,4001 TL - 5500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Coupons and discounts ,"Clothing , Food",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Very Important ,Unimportant ,Slightly Important ,Very Important ,Very Important ,Moderately Important ,Important ,"Electronic Products , Cosmetic Products , Baby Care ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,Late product delivery,Yes,Refuse to buy the product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Sociology,Ankara,Adana,Not working ,In a relationship ,College Dorm ,Less than 1000 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Coupons and discounts , Easy returns policy ","Cosmetic Products , Clothing ",Moderately Important ,Important ,Very Important ,Important ,Moderately Important ,Moderately Important ,Very Important ,Very Important ,Important ,Moderately Important ,Slightly Important ,Moderately Important ,Moderately Important ,Very Important ,Slightly Important ,Electronic Products ,I would like to try on before buying.,Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,Defective product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Architecture ,Architecture,Ankara,Burdur,Not working ,Single ,College Dorm ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,Reviews from other customers ,"Cosmetic Products , Clothing ",Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Moderately Important ,Unimportant ,Unimportant ,Slightly Important ,Important ,Important ,Important ,"Shoes and Bags , Furniture ",I want to see the product before buying. ,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,Product different from what I ordered ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Azerbaijan,Not working ,Single ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Quick and easy online checkout process ",Groceries ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Unimportant ,Slightly Important ,Slightly Important ,Slightly Important ,Unimportant ,Unimportant ,Unimportant ,"Electronic Products , Clothing ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",No,I have not returned my package before ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Engineering ,Metallurgical and Materials Engineering,Istanbul,Izmir,Not working ,In a relationship ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Clothing , Sport , Accessory",Slightly Important ,Very Important ,Very Important ,Important ,Important ,Important ,Very Important ,Important ,Important ,Moderately Important ,Important ,Very Important ,Very Important ,Slightly Important ,Unimportant ,Shoes and Bags ,I would like to try on before buying.,Yes,Yes,Yes,Late product delivery,No,I have not returned my package before ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,International Relations,Ankara,Ankara,Not working ,Single ,House - Own ,More than 5500 TL ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I would like to try on before buying., I want to see the product before buying. "
Male ,Under 19 ,Preparation School ,Engineering ,Metallurgical and Materials Engineering,Ankara,Izmir,Not working ,In a relationship ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Clothing , Sport , Accessory, Hobby ",Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Very Important ,Moderately Important ,Moderately Important ,Very Important ,Very Important ,Unimportant ,Unimportant ,"Electronic Products , Baby Care , Furniture , ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product , Fake product ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Physics,Ankara,Istanbul,Not working ,Single ,House - Own ,2501 TL - 4000 TL,Yes,Once a year ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Cosmetic Products , Clothing ",Important ,Very Important ,Very Important ,Very Important ,Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Important ,Moderately Important ,Very Important ,Moderately Important ,Moderately Important ,Moderately Important ,"Shoes and Bags , Building Supply",I would like to try on before buying.,Yes,No,Yes,Late product delivery,Yes,Product different from what I ordered ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Education ,Elementary Science Education,Ankara,Istanbul,Part-time ,In a relationship ,College Dorm ,4001 TL - 5500 TL,Yes,Once a week ,Credit card ,Individual brand websites  ,"Free delivery, Reviews from other customers ","Cosmetic Products , Clothing , Shoes and Bags ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Important ,Important ,"Outdoor , Baby Care , Building Supply ","I want to see the product before buying. ,",Yes,No,No,I do not have bad experience. ,Yes,Wrong order  ,Yes,Yes,
Female ,Under 19 ,Bachelor's Degree ,Economic and Administrative Sciences ,Psychology,Ankara,Ankara,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Easy returns policy , ","Electronic Products , Clothing , Shoes and Bags ",Moderately Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Moderately Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Unimportant ,"Cosmetic Products , Building Supply, Furniture ",I want to see the product before buying. ,Yes,No,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product ",Yes,No,
Male ,20 - 24,Bachelor's Degree ,Engineering ,Metallurgical and Materials Engineering,Ankara,Ankara,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Coupons and discounts , Reviews from other customers ","Clothing , Shoes and Bags , Sport , Outdoor ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,Moderately Important ,Important ,Very Important ,Important ,Moderately Important ,"Electronic Products , Cosmetic Products , Baby Care ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,No,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Product different from what I ordered , Refuse to buy the product ",Yes,Yes,
Male ,Under 19 ,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Kayseri,Not working ,Single ,College Dorm ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Electronic Products , Cosmetic Products , Clothing ",Slightly Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,Unimportant ,Very Important ,Important ,Very Important ,Very Important ,Unimportant ,"Baby Care , Building Supply, Furniture ",I would like to try on before buying.,Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Damaged product , Fake product ",Yes,Yes,
Male ,Under 19 ,Preparation School ,Arts and Sciences,Statistics,Ankara,Istanbul,Not working ,Single ,College Dorm ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,Coupons and discounts ,"Electronic Products , Cosmetic Products , Clothing ",Moderately Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Very Important ,Unimportant ,Unimportant ,Moderately Important ,Very Important ,Important ,Unimportant ,"Baby Care , Building Supply, Furniture ",I want to see the product before buying. ,Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Product different from what I ordered ",Yes,Yes,
Female ,Under 19 ,Preparation School ,Arts and Sciences,Statistics,Ankara,Mersin,Not working ,Single ,Private Dorm,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Lots of likes or good comments on social media ,Clothing ,Important ,Important ,Very Important ,Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,Slightly Important ,Moderately Important ,Very Important ,Very Important ,Slightly Important ,Slightly Important ,Baby Care ,I want to see the product before buying. ,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",No,I have not returned my package before ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Textile Engineering,Izmir,Manisa,Not working ,Single ,Student House ,Less than 1000 TL ,Yes,Once a week ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Clothing , Shoes and Bags , Sport , Accessory ",Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Moderately Important ,Slightly Important ,Very Important ,Moderately Important ,Moderately Important ,Moderately Important ,"Electronic Products , Cosmetic Products ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,No,I do not have bad experience. ,Yes,"Product different from what I ordered , Wrong or",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Architecture ,City and Regional Planning,Ankara,Düzce,Not working ,Single ,College Dorm ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Electronic Products , Cosmetic Products , Clothing ",Important ,Very Important ,Important ,Important ,Very Important ,Slightly Important ,Very Important ,Important ,Important ,Slightly Important ,Very Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,"Baby Care , Building Supply",I want to see the product before buying. ,Yes,Yes,No,I do not have bad experience. ,Yes,Damaged product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Ankara,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Payment by wire transfer / EFT ,Online marketplace websites ,"Coupons and discounts , Lots of likes or good comments on social media","Electronic Products , Cosmetic Products , Clothing ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,"Shoes and Bags , Outdoor , Baby Care ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,No,I do not have bad experience. ,Yes,Damaged product ,Yes,Yes,
Female ,Under 19 ,Preparation School ,Arts and Sciences,Psychology,Ankara,Izmir,Not working ,Single ,College Dorm ,1001 TL - 2500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,Coupons and discounts ,"Cosmetic Products , Sport , Accessory, Hobby",Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Slightly Important ,Very Important ,Very Important ,Very Important ,"Electronic Products , Baby Care , Building Supply ",I want to see the product before buying. ,Yes,Yes,Yes,Late product delivery,Yes,Product different from what I ordered ,Yes,Yes,
Male ,25 - 30,Bachelor's Degree ,Engineering ,Environmental Engineering,Ankara,Ankara,Not working ,In a relationship ,Student House ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Food",Very Important ,Important ,Important ,Very Important ,Important ,Moderately Important ,Important ,Slightly Important ,Important ,Moderately Important ,Important ,Important ,Important ,Important ,Unimportant ,"Clothing , Outdoor , Baby Care , Accesso","I would like to try on before buying., I want to see the product before buying. ",No,No,No,I do not have bad experience. ,Yes,"Defective product , Damaged product , Product different from what I ordered ",Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Engineering ,Metallurgical and Materials Engineering,Istanbul,Izmir,Intern ,In a relationship ,College Dorm ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Reviews from other customers , Easy returns policy ","Electronic Products , Clothing , Sport , Outdoor ",Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Unimportant ,Unimportant ,Unimportant ,Slightly Important ,Unimportant ,Unimportant ,"Cosmetic Products , Shoes and Bags , Baby Care ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Product different from what I ordered ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Food Engineering,Ankara,Tekirdag,Not working ,Single ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Coupons and discounts ,Clothing ,Moderately Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Important ,Very Important ,Important ,Important ,Moderately Important ,Moderately Important ,Slightly Important ,"Electronic Products , Furniture ",I want to see the product before buying. ,Yes,No,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,Refuse to buy the product ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,Economics,Ankara,Istanbul,Not working ,Single ,Student House ,4001 TL - 5500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Coupons and discounts , Easy returns policy","Electronic Products , Sport , Accessory",Important ,Very Important ,Important ,Very Important ,Important ,Important ,Important ,Slightly Important ,Moderately Important ,Important ,Important ,Moderately Important ,Unimportant ,Slightly Important ,Slightly Important ,"Clothing , Shoes and Bags ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Product different from what I ordered , Wrong or",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Pharmacy ,Pharmacy,Istanbul,Manisa,Not working ,In a relationship ,Student House ,More than 5500 TL ,Yes,Once a week ,Credit card ,Online marketplace websites ,Reviews from other customers ,"Cosmetic Products , Clothing , Accessory",Slightly Important ,Very Important ,Very Important ,Very Important ,Very Important ,Slightly Important ,Very Important ,Moderately Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Important ,Moderately Important ,"Electronic Products , Outdoor , Building Supply ",I would like to try on before buying.,Yes,Yes,Yes,Problems with payment method like no pay-at-the-door option ,Yes,Refuse to buy the product ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Izmir,Not working ,In a relationship ,Student House ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Easy returns policy , Quick and easy online checkout process","Electronic Products , Clothing , Sport , Accessory ",Moderately Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Important ,Moderately Important ,Slightly Important ,Unimportant ,Very Important ,Slightly Important ,Very Important ,Very Important ,"Cosmetic Products , Baby Care , Building Supply ",I want to see the product before buying. ,Yes,No,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Damaged product , Fake product ",Yes,Yes,
Female ,25 - 30,Bachelor's Degree ,Engineering ,Industrial Engineering,Istanbul,Izmir,Full-time ,In a relationship ,Family House ,More than 5500 TL ,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Cosmetic Products , Clothing , Sport , Hobby ",Important ,Important ,Very Important ,Important ,Very Important ,Moderately Important ,Important ,Very Important ,Moderately Important ,Unimportant ,Slightly Important ,Moderately Important ,Important ,Important ,Unimportant ,"Electronic Products , Shoes and Bags ",I would like to try on before buying.,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Product different from what I ordered ",Yes,Yes,
