Gender,Age,Education status,Faculty,Major,City of residence,Birth place,Work status,Relationship,Accommodation,Income,Online purchase,Online purchase freq,Payment method,Website type,Reasons,Mostly prefered,Website design,Product information,Product comments,Product rating,Product pictures,Variety of size/colour,Quality of the product,Return Guarantees,Recommondations about that webs,Product comparison feature,Different sellers offers,High online security system,The name value of the firm,Special discount coupon,Instant discount messages/mails,Most not to prefer,Reasons not prefer,Collecting info,Decision support systems,Bad experience,Bad experience info,Returned a product,Reason for returning products,"Satisfied brand,  prefer again",Recommend satisfied brand,Why don’t you shop online?
Female ,20 - 24,Bachelor's Degree ,Pharmacy ,Pharmacy,Ankara,Ankara,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Reviews from other customers ,Clothing ,Moderately Important ,Important ,Very Important ,Important ,Very Important ,Important ,Important ,Important ,Important ,Moderately Important ,Moderately Important ,Important ,Moderately Important ,Important ,Moderately Important ,Electronic Products ,I do not trust websites. ,Yes,No,No,"Problems about the product like damaged, fake, defective etc. ",Yes,Damaged product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Mechanical Engineering,Ankara,Antalya,Not working ,In a relationship ,Student House ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Coupons and discounts , Reviews from other customers ","Cosmetic Products , Clothing , Hobby , Stationary ",Important ,Important ,Very Important ,Very Important ,Important ,Important ,Important ,Very Important ,Very Important ,Moderately Important ,Important ,Important ,Slightly Important ,Unimportant ,Unimportant ,"Electronic Products , Shoes and Bags , Outdoor ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Product different from what I ordered ",Yes,Yes,
Other  ,20 - 24,Bachelor's Degree ,Engineering ,Electrical and Electronics Engineering,Ankara,Ankara,Not working ,In a relationship ,Student House ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Cosmetic Products , Clothing , Shoes and Bags ",Important ,Very Important ,Very Important ,Important ,Very Important ,Moderately Important ,Very Important ,Important ,Moderately Important ,Moderately Important ,Moderately Important ,Very Important ,Moderately Important ,Important ,Unimportant ,Electronic Products ,I want to see the product before buying. ,Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product , Refuse to buy ",Yes,No,
Female ,20 - 24,Bachelor's Degree ,Law ,Law,Ankara,Ankara,Not working ,In a relationship ,Family House ,1001 TL - 2500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Cosmetic Products , Clothing ",Moderately Important ,Important ,Very Important ,Important ,Very Important ,Important ,Very Important ,Important ,Moderately Important ,Slightly Important ,Important ,Moderately Important ,Moderately Important ,Important ,Important ,"Cosmetic Products , Clothing ","I would like to try on before buying.,I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",No,I have not returned my package before ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Ankara,Not working ,Single ,Family House ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Clothing , Shoes and Bags ",Moderately Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Important ,Moderately Important ,Moderately Important ,Important ,Moderately Important ,Important ,Moderately Important ,"Baby Care , Building Supply, Furniture ",I want to see the product before buying. ,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",No,I have not returned my package before ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Education ,Computer Education and Educational Technologies,Istanbul,Antalya,Part-time ,In a relationship ,Student House ,More than 5500 TL ,Yes,Once a month ,Payment by wire transfer / EFT ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Electronic Products , Cosmetic Products , Clothing ",Important ,Important ,Very Important ,Very Important ,Important ,Moderately Important ,Important ,Slightly Important ,Moderately Important ,Slightly Important ,Slightly Important ,Slightly Important ,Moderately Important ,Slightly Important ,Unimportant ,"Shoes and Bags , Outdoor , Building Supply","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product , Product different from what I ordered ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Food Engineering,Antalya,Ankara,Not working ,In a relationship ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Coupons and discounts ,"Cosmetic Products , Clothing , Shoes and Bags ",Very Important ,Important ,Important ,Important ,Important ,Important ,Important ,Important ,Important ,Important ,Slightly Important ,Important ,Important ,Important ,Slightly Important ,"Electronic Products , Furniture ",I do not trust websites. ,Yes,No,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,Product different from what I ordered ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Education ,Elementary Mathematics Education,Istanbul,Istanbul,Not working ,Single ,Family House ,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Clothing , Hobby ",Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Important ,Very Important ,Slightly Important ,"Electronic Products , Shoes and Bags ","I would like to try on before buying.,I want to see the product before buying. ",Yes,Yes,Yes,Late product delivery,Yes,Product different from what I ordered ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Law ,Law,Istanbul,Alanya,Not working ,In a relationship ,House - Rent ,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,Coupons and discounts ,Electronic Products ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Unimportant ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Unimportant ,Unimportant ,Shoes and Bags ,I would like to try on before buying.,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,Defective product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Education ,Computer Education and Educational Technologies,Istanbul,Istanbul,Part-time ,In a relationship ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Reviews from other customers , Quick and easy online checkout process","Cosmetic Products , Clothing , Shoes and Bags ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Moderately Important ,Important ,Very Important ,Moderately Important ,Slightly Important ,Unimportant ,"Electronic Products , Baby Care , Accessory",I want to see the product before buying.,Yes,No,Yes,"No delivery / missing product , Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Fake product , Wrong order ",Yes,Yes,
